datetime,Achat Ecocup,Biere 25cl,Cafe,Carte Cashless,Cidre,Croque Choco,Frite,Hot-Dog,Menu Classique,Menu Vegetarien,Remboursement Ecocup,Sandwich Vege,Soft,Tee-shirts
2019-04-05 19:00:00,12,8,,5,3,1,,,5,,,,4,
2019-04-05 19:01:00,5,15,,1,,1,,1,,,,,1,
2019-04-05 19:02:00,9,23,,5,,,,,,2,,,,
2019-04-05 19:03:00,13,23,,5,1,,1,,1,1,,,,
2019-04-05 19:04:00,5,20,,7,1,,,,3,,,,,
2019-04-05 19:05:00,6,15,,6,1,1,1,1,6,1,,,,1
2019-04-05 19:06:00,6,13,,5,,,,1,,1,,,1,
2019-04-05 19:07:00,9,9,,9,,,,,3,,,,,
2019-04-05 19:08:00,5,11,,7,1,,2,,,1,,,1,
2019-04-05 19:09:00,11,12,,9,4,1,1,1,,,,,,
2019-04-05 19:10:00,6,8,,4,2,,,,1,,,,2,
2019-04-05 19:11:00,11,18,,6,,,,2,1,1,,,,
2019-04-05 19:12:00,12,6,,12,2,,2,2,4,2,,,,
2019-04-05 19:13:00,6,16,,5,2,,,1,,,,,,
2019-04-05 19:14:00,12,12,,6,1,,1,4,2,,,,,
2019-04-05 19:15:00,4,10,,6,5,,1,1,,,,,,
2019-04-05 19:16:00,7,16,,10,1,,,2,,,,,2,
2019-04-05 19:17:00,12,11,,7,3,,,1,3,2,,,,
2019-04-05 19:18:00,9,11,,6,1,2,3,3,,,,,,
2019-04-05 19:19:00,9,14,,7,1,,,,,,,,1,
2019-04-05 19:20:00,3,16,,4,1,,,,,2,,,,
2019-04-05 19:21:00,7,16,,5,2,,,,,,,1,,
2019-04-05 19:22:00,4,3,,5,,1,1,2,3,,,,2,
2019-04-05 19:23:00,16,11,,9,1,,,2,1,,,,2,
2019-04-05 19:24:00,6,13,,6,1,2,2,5,2,1,,,1,
2019-04-05 19:25:00,13,8,,7,,,,,2,,,,1,
2019-04-05 19:26:00,12,21,,7,1,,1,,4,,,,,
2019-04-05 19:27:00,3,9,,6,2,,3,2,,,,,1,
2019-04-05 19:28:00,1,20,,4,1,,,1,,,,,1,
2019-04-05 19:29:00,8,16,,5,2,,,1,1,,,,1,
2019-04-05 19:30:00,6,12,,3,2,,,,,1,,1,1,
2019-04-05 19:31:00,9,22,,7,2,1,2,3,,,,,2,
2019-04-05 19:32:00,12,12,,7,1,,1,2,1,,,,,
2019-04-05 19:33:00,5,14,,6,3,,,,3,,,1,,
2019-04-05 19:34:00,6,15,,7,,,2,3,,,,,1,
2019-04-05 19:35:00,12,16,,6,2,,,,,,,,1,
2019-04-05 19:36:00,8,15,,6,2,,3,4,1,,,,,
2019-04-05 19:37:00,4,33,,5,2,,1,,1,,,1,,
2019-04-05 19:38:00,9,16,,5,3,,,2,,,,,,
2019-04-05 19:39:00,11,13,,8,1,,1,1,,,,,1,
2019-04-05 19:40:00,13,20,,7,4,,,,,,,,,
2019-04-05 19:41:00,11,14,,5,2,,,,,,,,1,
2019-04-05 19:42:00,9,18,,7,2,,,,,,,,,
2019-04-05 19:43:00,9,12,,4,4,1,,,1,2,,1,2,
2019-04-05 19:44:00,7,18,,4,1,,2,2,,,,,2,
2019-04-05 19:45:00,9,29,,4,2,,1,1,,,,,3,2
2019-04-05 19:46:00,6,19,,7,4,1,1,1,,,,,,
2019-04-05 19:47:00,11,21,,8,3,,,,1,1,,,3,
2019-04-05 19:48:00,10,25,,5,2,1,1,1,2,,,,1,
2019-04-05 19:49:00,5,16,,4,2,,,,,2,,,,3
2019-04-05 19:50:00,9,12,,8,2,,,,,,,,,
2019-04-05 19:51:00,10,17,,3,1,1,,,,,,,2,
2019-04-05 19:52:00,13,15,,6,2,,,,,,,,1,
2019-04-05 19:53:00,5,14,,6,2,,1,2,2,,,,,
2019-04-05 19:54:00,9,5,,5,,,,,,,,,2,
2019-04-05 19:55:00,5,11,,5,4,,1,2,,,,,2,
2019-04-05 19:56:00,5,14,,5,3,2,2,2,,,,,2,
2019-04-05 19:57:00,12,16,,7,5,,,,2,3,,,2,
